padron;deuda;pagado;superficie;valuacion_yb;valucion_smt
184971;4374;0;445;145600;270817
184972;4719;0;363;255101;474489
184973;5209;0;613;335194;623462
184974;1431;255;399;45299;84257
184975;1956;1956;436;195980;364523
184976;461;159;432;27812;51731
184977;325;325;605;33926;63104
184978;2938;472;604;143137;266235
184979;3447;1264;604;168526;313459
184980;1358;1358;453;95057;176806
184981;749;0;603;33837;62937
184982;749;0;603;33817;62899
184983;749;0;602;33796;62861
184991;9909;0;3813;565919;1052609
184992;1942;0;2186;105639;207713
184993;3439;1299;2131;263360;489851
184994;2988;2988;3076;193680;360246
184995;2508;2508;604;525552;977527
184996;4165;0;2208;98697;183577
184997;3593;0;2235;93668;174223
184998;3935;0;2215;375291;698041
278202;540;0;300;1900;175462
279244;864;0;629;9900;16820
279276;540;0;47999;1;153296
279279;864;0;65587;6300;100473
280001;3961;0;2760;387028;719872
280002;3396;1793;2256;215768;418729
280003;2931;2931;2397;417070;775750
280004;3587;1617;2365;228394;424813
280005;2230;1017;2467;86159;160256
280011;2263;0;2580;90109;167604
280012;2156;0;0;75276;140013
280019;2956;1104;1153;429459;798794
280449;540;0;0;21500;69128
280470;540;0;308;1;101514
280515;540;0;945;4900;32608
280577;540;0;1024;1100;34057
280684;4564;0;2134;202634;376899
280734;7227;0;1578;1108709;2062200
280735;1468;1468;391;203993;379428
280736;2202;2202;0;132568;246577
280737;3537;1064;405;177899;330892
280738;3841;3841;408;446591;830660
280739;4563;1966;397;277958;517002
280740;4740;0;0;262477;488208
280741;1082;1082;0;98480;183173
280742;4799;0;0;281363;523336
280743;4564;0;510;202821;377247
280745;3146;0;0;147826;274957
280746;4163;0;394;48304;89846
280747;3619;331;813;242183;728214
280749;2645;2645;391;254045;472524
280750;2573;2573;393;212246;445382
280751;2078;2078;363;181614;337802
280752;2828;1172;960;260564;484649
280754;3667;0;480;260497;484525
280755;2375;2193;481;406713;756486
280756;2550;2550;0;198265;368773
280757;3624;0;481;244723;455185
280758;2521;2521;368;183527;341361
280759;4679;0;386;214235;398477
280760;4267;0;391;120682;224469
280761;3646;0;403;251552;467887
280762;3811;0;406;321830;598604
280763;2938;2938;403;180165;335108
280764;4564;1672;361;202726;377071
280765;1787;1787;502;192800;358608
280770;3233;0;394;157794;293497
280771;1586;736;406;52906;928139
280772;3517;1933;406;198547;369298
280773;2653;1002;392;256000;476160
280775;3752;1197;763;297991;554263
280779;3726;0;1440;285471;530977
280781;3613;0;622;239027;444591
280782;2049;0;420;185243;344552
280783;2717;1023;445;293792;546453
280784;2217;2217;445;287559;534860
280785;3550;1951;462;211957;500468
280786;2164;0;462;245513;456654
280787;4596;0;449;213703;397489
280788;3519;3519;726;299399;556883
280789;3954;0;680;389966;725337
280793;2048;2048;439;180057;334906
280795;1739;1739;450;106974;198971
280796;2478;2478;450;157202;292397
280797;3443;0;455;167396;311356
280798;2905;0;450;135670;252346
280799;3683;0;900;267752;498020
280801;662;0;426;55936;104041
280802;3624;0;435;244731;455200
280803;3672;0;435;262654;488536
280804;4455;0;435;163638;304367
280805;2785;0;426;60362;112274
280806;3635;0;450;246265;458054
280807;3694;0;450;272635;507102
280808;2175;0;450;92584;172208
280809;3502;0;450;190085;353559
280810;2617;2617;450;235423;437887
280811;5620;0;450;428999;797938
280812;3833;0;428;333671;620629
280818;4983;4983;450;336953;687441
280819;1981;738;453;55690;103584
280824;3320;0;435;180100;334986
280825;3480;1915;442;180978;336619
280826;3528;0;437;202306;376290
280827;748;748;440;103137;191835
280830;2542;2542;450;194464;361704
280834;3667;0;370;262284;487849
280837;3469;0;380;177892;330880
280838;3768;0;0;304420;566222
280842;5286;0;591;448606;834407
280843;4880;0;551;311200;578833
280844;4730;0;527;259687;483019
280848;2856;2856;907;374370;696328
280852;2740;2740;551;305384;568015
280853;2816;2816;581;257711;479343
280854;3723;1395;600;392352;729775
280855;3008;3008;618;375566;945370
280856;5222;0;619;426089;792526
280857;3388;3388;618;239254;445014
280858;4767;1305;618;272322;506520
280859;4858;0;600;304014;565466
280860;5064;2164;591;454605;845565
280861;5006;0;541;288688;842414
280862;1898;1726;527;307946;572780
280863;3587;0;450;228862;425684
280864;3929;0;898;371849;691640
280871;3047;1413;601;398712;741605
280872;5350;0;600;470124;874431
280873;1950;1950;618;737615;1371964
280874;3615;3615;618;743496;1382903
280875;6659;2853;618;181599;337774
280876;5213;1729;632;508411;945646
280877;6222;1400;600;767118;1426840
280878;3047;3047;800;397491;739333
280883;4756;0;589;268872;500102
280884;3008;3008;857;375722;869932
280890;4638;0;415;228293;424626
280891;3072;0;415;139328;259150
280948;5131;0;1556;397160;738719
280949;2704;1020;797;286401;532706
280953;2922;2922;1414;323706;542422
281216;540;0;0;2400;197695
281236;540;0;0;700;224690
281250;549;0;673;43133;80228
281251;1519;1519;0;127676;237478
281306;2380;0;0;106936;198902
281307;3447;0;0;168419;313260
281308;2889;2889;296;166846;310334
281441;540;0;0;1;311429
281634;2490;2490;0;163672;304431
281646;1946;0;1737;100772;187436
281647;4726;2480;0;335905;624784
281651;5468;0;3658;510470;949474
281673;3638;3638;600;354323;659041
281679;1014;342;827;92793;172596
