padron;valuacion_total;valuacion
81834;140062.19;1.0
81841;384411.09;1.0
81842;346303.07;1.0
81848;110629.71;1.0
81852;237363.28;1.0
81854;328382.12;1.0
81865;58549.34;1.0
81868;216199.8;1.0
81871;238908.97;1.0
81873;413534.94;1.0
81877;511826.01;1.0
81878;225399.62;1.0
81885;299118.93;1.005
81892;640777.97;1.0
81894;230429.06;1.0
81897;24026.35;1.005
81898;122946.69;1.0
81899;243875.27;1.0
81903;262495.85;1.0
81932;565431.18;1.0
81957;156630.35;1.0
81958;252986.7;1.0
81964;75844.5;1.0
81971;282979.08;1.0
81973;220001.34;1.0
81976;515754.17;1.0
81984;359400.13;1.0
81988;395706.02;1.0
81993;126041.93;1.0
81994;374270.72;1.0
81995;63476.58;1.0
81998;22218.18;1.0
82004;81805.88;1.0
82008;360762.11;1.0
82009;390001.95;1.0
82010;242171.26;1.0
82013;172502.55;1.005
82016;314843.41;1.0
82020;251051.71;1.0
82021;115705.26;1.0
82033;464885.6;1.0
82034;894757.0;1.0
82035;378729.5;1.005
82037;503334.71;1.0
82038;217247.21;1.0
82039;234397.99;1.0
82054;395040.51;1.0
82055;648223.91;1.0
82056;195653.46;1.0
82061;96000.54;1.0
82083;317734.89;1.0
82086;274628.71;1.0
82089;199687.2;1.007
82093;152815.21;1.0
82097;211742.03;1.0
82126;6285.42;1.0
82127;5882.44;1.0
82128;702154.46;1.0
82130;1729.51;1.0
82131;6391.86;1.0
82148;420829.77;1.0
82151;391129.68;1.005
82161;200102.31;1.0
82162;153105.98;1.0
82174;134637.35;1.0
82181;153345.46;1.0
82183;45336.87;1.0
82186;117779.48;1.0
82190;646035.49;1.005
82191;672238.95;1.005
82192;199038.54;1.0
82194;422493.86;1.0
82195;349823.02;1.0
82197;228177.85;1.0
82199;475881.31;1.0
82204;131864.68;1.005
82206;264586.16;1.0
82215;84098.51;1.0
82237;114331.2;1.0
82239;294957.06;1.0
82272;409945.23;4300.0
82384;9005.19;1.0
82508;1320904.62;26400.0
82554;1729.51;1.0
82593;1768459.7;18500.0032
82597;86923.45;4000.0
82607;2019415.2;8900.0
82628;63245.1;3900.0
82636;95832.95;5200.0
82638;511654.62;18305.43
82709;124067.59;4600.0
82879;218676.39;1300.005
82892;391943.51;9600.0
83039;168801.09;15400.0
83393;252091.67;2500.0
83637;212776.11;1.0
83643;200483.91;11800.0
83838;88773.35;5000.0
875374;595473.28;3700.0
875529;519386.99;7800.0
875530;966092.17;70700.0
87554;411439.14;18700.0
876004;358668.4;22979.75
876007;408680.58;35619.14
876009;286717.31;20777.35
876035;388123.42;30334.3
876047;538254.44;37544.94
876585;259935.45;16322.15
876596;1215130.23;49669.88
876897;799910.72;58084.4
876932;58136.12;929.84
877141;422148.97;20600.0
878208;490446.18;22238.58
878213;467416.49;20666.26
878214;359166.92;20666.26
878215;353866.18;20666.26
878216;358475.5;20666.26
878217;353866.18;20666.26
878263;591739.51;24771.16
878329;758640.66;60311.89
878353;317114.87;30583.38
878355;981864.58;71386.01
878366;93888133.37;1490060.58
878656;537129.85;53085.92
878915;993704.12;90067.42
878921;1140040.17;91547.23
878959;433472.82;43263.48
878961;879568.92;56394.35
879048;241875.21;18300.0
879057;862245.73;51844.47
879077;569206.97;55879.82
879217;296154.53;29428.48
879560;442044.71;4100.0
879561;442107.14;4000.005
879562;441333.22;3900.0
879563;440841.93;3800.0
879564;497973.19;33600.0
879565;583399.72;3500.007
879779;404993.63;25680.22
879781;280545.98;27608.37
879800;526175.92;40577.55
879804;417731.15;40607.88
879831;33775.88;1400.0
879832;28806.15;1500.0
879833;270521.59;12300.0
879834;49194.99;3600.0
879867;137240.99;5300.0
879902;4854634.55;139871.03
